Designator,Mid X,Mid Y,Rotation,Layer
C1,3.000000,19.000000,0.000000,Top
C2,10.800000,19.700000,0.000000,Top
C3,7.800000,19.600000,0.000000,Top
C4,10.000000,12.600000,0.000000,Top
C5,17.000000,3.800000,0.000000,Top
C6,17.000000,1.800000,0.000000,Top
C7,21.000000,8.100000,0.000000,Top
C8,21.100000,13.100000,0.000000,Top
C9,21.000000,15.300000,0.000000,Top
C10,31.000000,18.700000,90.000000,Top
J1,3.820000,10.500000,-90.000000,Top
J2,35.600000,10.500000,90.000000,Top
R1,7.000000,2.200000,0.000000,Top
R2,4.500000,17.000000,0.000000,Top
R4,29.300000,0.900000,0.000000,Top
R5,29.300000,2.550000,0.000000,Top
R6,29.300000,4.300000,0.000000,Top
R7,24.550000,14.350000,0.000000,Top
R8,29.300000,6.050000,0.000000,Top
R9,29.300000,7.900000,0.000000,Top
R10,24.800000,17.000000,0.000000,Top
U1,15.500000,10.500000,180.000000,Top
U2,23.350000,3.650000,180.000000,Top
U3,24.500000,10.700000,0.000000,Top
U4,28.800000,15.550000,0.000000,Top
U5,8.450000,17.100000,0.000000,Top
U6,9.300000,9.900000,0.000000,Top
U7,29.800000,10.700000,0.000000,Top
Y1,14.650000,18.200000,0.000000,Top
